"Timestamp","What is your gender?","How much do you earn monthly?","Are you married or unmarried?","What is your working experience?","How do you work?","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel angry.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel anxious.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel at ease.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel bored.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work  made me feel calm.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel content.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel depressed.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel discouraged.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel disgusted.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel ecstatic.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel energetic.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel enthusiastic.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel excited.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel fatigued.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel frightened.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel furious.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel gloomy.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel inspired.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel relaxed.]","Please check one response for each item that best indicates how often you've experienced each emotion at work over the past 30 days. [My work made me feel satisfied.]"
"2022/07/17 12:26:45 PM GMT+5:30","Male","< Rs.100,000","Single","2- 5 years","Physical","Rarely","Rarely","Sometimes","Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:45 PM GMT+5:30","Male","< Rs.100,000","Other","2- 5 years","Physical","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Rarely","Rarely","Rarely","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Sometimes","Sometimes"
"2022/07/17 12:26:46 PM GMT+5:30","Male","< Rs.100,000","Single","2- 5 years","Physical","Sometimes","Sometimes","Quite often","Quite often","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Quite often","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Quite often","Sometimes"
"2022/07/17 12:26:47 PM GMT+5:30","Female","< Rs.100,000","Single","2- 5 years","Physical","Sometimes","Sometimes","Quite often","Rarely","Sometimes","Extremely often","Never","Never","Never","Quite often","Quite often","Quite often","Quite often","Never","Never","Rarely","Never","Quite often","Quite often","Quite often"
"2022/07/17 12:26:47 PM GMT+5:30","Male","< Rs.100,000","Married","< 2 years","Hybrid","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Rarely","Quite often","Sometimes","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:48 PM GMT+5:30","Female","< Rs.100,000","Single","2- 5 years","Physical","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:49 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Married","2- 5 years","Online","Sometimes","Sometimes","Sometimes","Quite often","Rarely","Quite often","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:50 PM GMT+5:30","Male","Rs 100,000 - Rs 200,000","Single","< 2 years","Hybrid","Never","Rarely","Quite often","Rarely","Sometimes","Quite often","Never","Never","Never","Rarely","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Quite often","Sometimes","Quite often"
"2022/07/17 12:26:50 PM GMT+5:30","Male","Rs 100,000 - Rs 200,000","Single","2- 5 years","Physical","Rarely","Rarely","Sometimes","Rarely","Quite often","Rarely","Never","Never","Never","Rarely","Sometimes","Sometimes","Quite often","Never","Rarely","Sometimes","Extremely often","Sometimes","Quite often","Extremely often"
"2022/07/17 12:26:51 PM GMT+5:30","Female","< Rs.100,000","Single","< 2 years","Physical","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Quite often"
"2022/07/17 12:26:52 PM GMT+5:30","Female","Rs 100,000 - Rs 200,000","Married","< 2 years","Online","Sometimes","Sometimes","Quite often","Sometimes","Quite often","Quite often","Rarely","Rarely","Never","Sometimes","Quite often","Quite often","Quite often","Sometimes","Rarely","Rarely","Rarely","Quite often","Quite often","Sometimes"
"2022/07/17 12:26:53 PM GMT+5:30","Female","Rs 100,000 - Rs 200,000","Single","< 2 years","Online","Never","Never","Extremely often","Never","Extremely often","Extremely often","Never","Never","Never","Sometimes","Extremely often","Extremely often","Extremely often","Never","Never","Never","Never","Extremely often","Extremely often","Extremely often"
"2022/07/17 12:26:54 PM GMT+5:30","Female","Rs 100,000 - Rs 200,000","Single","2- 5 years","Hybrid","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:54 PM GMT+5:30","Female","< Rs.100,000","Married","5-10 years","Hybrid","Rarely","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Never","Rarely","Rarely","Sometimes","Rarely","Sometimes"
"2022/07/17 12:26:55 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Rarely","Never","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Never","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:56 PM GMT+5:30","Male","< Rs.100,000","Single","2- 5 years","Physical","Rarely","Sometimes","Quite often","Rarely","Sometimes","Sometimes","Rarely","Never","Rarely","Sometimes","Quite often","Quite often","Quite often","Sometimes","Rarely","Sometimes","Quite often","Quite often","Sometimes","Quite often"
"2022/07/17 12:26:57 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Married","< 2 years","Online","Never","Never","Rarely","Rarely","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:26:57 PM GMT+5:30","Female","Rs 100,000 - Rs 200,000","Married","< 2 years","Online","Never","Never","Sometimes","Quite often","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Never","Sometimes"
"2022/07/17 12:26:58 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Never","Never","Extremely often","Sometimes","Quite often","Quite often","Rarely","Never","Never","Quite often","Quite often","Quite often","Quite often","Sometimes","Rarely","Never","Never","Quite often","Quite often","Sometimes"
"2022/07/17 12:26:59 PM GMT+5:30","Male","Rs 100,000 - Rs 200,000","Single","< 2 years","Online","Rarely","Sometimes","Sometimes","Sometimes","Quite often","Quite often","Rarely","Never","Never","Rarely","Extremely often","Extremely often","Extremely often","Rarely","Rarely","Rarely","Rarely","Extremely often","Quite often","Extremely often"
"2022/07/17 12:26:59 PM GMT+5:30","Male","Rs 100,000 - Rs 200,000","Single","< 2 years","Online","Rarely","Rarely","Rarely","Rarely","Quite often","Quite often","Rarely","Rarely","Never","Never","Quite often","Quite often","Sometimes","Rarely","Rarely","Sometimes","Quite often","Quite often","Quite often","Quite often"
"2022/07/17 12:27:00 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes"
"2022/07/17 12:27:01 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Rarely","Rarely","Sometimes","Never","Quite often","Quite often","Rarely","Rarely","Never","Never","Quite often","Extremely often","Quite often","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Extremely often"
"2022/07/17 12:27:02 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Never","Never","Extremely often","Rarely","Sometimes","Quite often","Never","Never","Never","Sometimes","Quite often","Quite often","Quite often","Never","Never","Never","Quite often","Extremely often","Extremely often","Extremely often"
"2022/07/17 12:27:03 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"2022/07/17 12:27:03 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Single","< 2 years","Online","Never","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes"
"2022/07/17 12:27:04 PM GMT+5:30","Female","Rs 200,001 - Rs 500,000","Single","2- 5 years","Hybrid","Rarely","Never","Quite often","Never","Quite often","Quite often","Never","Never","Never","Quite often","Quite often","Quite often","Quite often","Rarely","Never","Never","Never","Quite often","Quite often","Quite often"
"2022/07/17 12:27:05 PM GMT+5:30","Female","Rs 100,000 - Rs 200,000","Married","< 2 years","Hybrid","Rarely","Rarely","Quite often","Rarely","Sometimes","Sometimes","Never","Never","Never","Quite often","Quite often","Quite often","Quite often","Sometimes","Rarely","Rarely","Never","Sometimes","Sometimes","Quite often"
"2022/07/17 12:27:06 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Single","5-10 years","Hybrid","Rarely","Rarely","Rarely","Rarely","Quite often","Quite often","Sometimes","Never","Never","Rarely","Quite often","Extremely often","Extremely often","Quite often","Quite often","Quite often","Quite often","Extremely often","Quite often","Extremely often"
"2022/07/17 12:27:06 PM GMT+5:30","Male","Rs 200,001 - Rs 500,000","Married","2- 5 years","Hybrid","Never","Sometimes","Quite often","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Extremely often"
"2022/07/17 12:27:07 PM GMT+5:30","Male","Rs 500,001 - Rs 1,000,000","Married","5-10 years","Hybrid","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Quite often"
"2022/07/17 12:27:08 PM GMT+5:30","Female","< Rs.100,000","Single","< 2 years","Physical","Rarely","Rarely","Rarely","Rarely","Quite often","Quite often","Rarely","Rarely","Rarely","Rarely","Quite often","Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Quite often","Sometimes"
